QuestionType,Question,Answer,Options
MAXTRAVELTIME,"How many hours would you willing to drive?",INT,"less than 1 hour:3600,less than 2 hour:7200,less than 3 hour:10800,less than 4 hour:14400"
MAXTRAVELTIME,"What's your maximum travel time?",INT,"less than 1 hour:3600,less than 2 hour:7200,less than 3 hour:10800,less than 4 hour:14400"
MAXTRAVELTIME,"Great, how long are you willing to drive for?",INT,"less than 1 hour:3600,less than 2 hour:7200,less than 3 hour:10800,less than 4 hour:14400"
MAXBUDGET,"What's your budget?",INT,
MAXBUDGET,"How much would you like to spend?",INT,
MAXBUDGET,"What is your budget for your weekend away?",INT,
ACTIVITIES,"What would you like to do?",LIST,"Sights & Landmarks:Sights & Landmarks,Museums:Museums,Tours & Activities:Tours & Activities,Nature & Parks:Nature & Parks,Amusement Parks:Amusement Parks,Nightlife:Nightlife"
ACTIVITIES,"what would be the main thing you want to do over your weekend away?",LIST,"Sights & Landmarks:Sights & Landmarks,Museums:Museums,Tours & Activities:Tours & Activities,Nature & Parks:Nature & Parks,Amusement Parks:Amusement Parks,Nightlife:Nightlife"
ERROR_MAXTRAVELTIME,"Lol! Have you thought about staycation?",NONE,
ERROR_MAXTRAVELTIME,"Not very adventures... haha",NONE,
ERROR_MAXTRAVELTIME,"Have you thought about exploring your local area.",NONE,
ERROR_MAXBUDGET,"Umm... maybe you should just treat yourself to a takeaway.",NONE,
ERROR_MAXBUDGET,"Sorry, try again next week.",NONE,
ERROR_MAXBUDGET,"Why you don't just 'Netflix and chill'.",NONE,
ERROR,"I don't understand what you are saying.",NONE,
HI,"Hallo!",NONE,
